Headers;Contents
Art. 126. Bezprawne używanie znaków;"§ 1. Kto w czasie działań zbrojnych używa niezgodnie z prawem międzynarodowym znaku Czerwonego Krzyża lub Czerwonego Półksiężyca,
podlega karze pozbawienia wolności do lat 3.
§ 2. Tej samej karze podlega, kto w czasie działań zbrojnych używa niezgodnie z prawem międzynarodowym znaku ochronnego dla dóbr kultury lub innego znaku chronionego przez prawo międzynarodowe albo posługuje się flagą państwową lub odznaką wojskową nieprzyjaciela, państwa neutralnego albo organizacji lub komisji międzynarodowej."
Art. 126a. Publiczne nawoływanie do popełnienia czynu zabronionego;"Kto publicznie nawołuje do popełnienia czynu określonego w art. 118 ludobójstwo, art. 118a udział w masowym zamachu, art. 119 dyskryminacja § 1, art 120–125 lub publicznie pochwala popełnienie czynu określonego w tych przepisach,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
Art. 126b. Dopuszczenie do popełnienia przestępstw przeciwko pokojowi, ludzkości oraz przestępstw wojennych;"§ 1. Kto, nie dopełniając obowiązku należytej kontroli, dopuszcza do popełnienia czynu określonego w art. 117 wojna napastnicza § 3, art. 118 ludobójstwo, art. 118a udział w masowym zamachu, art. 119 dyskryminacja § 1, art 120–126a przez osobę pozostającą pod jego faktyczną władzą lub kontrolą,
podlega karze określonej w tych przepisach.
§ 2. Jeżeli sprawca działa nieumyślnie,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
Art. 126c. Przygotowania do przestępstw przeciwko pokojowi, ludzkości oraz przestępstw wojennych;"§ 1. Kto czyni przygotowania do przestępstwa określonego w art. 117 wojna napastnicza, art. 118 ludobójstwo lub art. 120 stosowanie środków masowej zagłady,
podlega karze pozbawienia wolności od lat 3 do 20.
§ 2. Kto czyni przygotowania do przestępstwa określonego w art. 118a udział w masowym zamachu § 1 lub § 2, art. 122 niedopuszczalne sposoby lub środki walki lub art. 123 zamach na życie lub zdrowie jeńców wojennych albo ludności cywilnej,
podlega karze pozbawienia wolności od roku do lat 10.
§ 3. Kto czyni przygotowania do przestępstwa określonego w art. 124 inne naruszenia przepisów prawa międzynarodowego § 1 lub art. 125 niszczenie, uszkadzanie, zabieranie lub przywłaszczanie mienia lub dobra kultury,
podlega karze pozbawienia wolności do lat 3."
Art. 127. Zamach stanu;"§ 1. Kto, mając na celu pozbawienie niepodległości, oderwanie części obszaru lub zmianę przemocą konstytucyjnego ustroju Rzeczypospolitej Polskiej, podejmuje w porozumieniu z innymi osobami działalność zmierzającą bezpośrednio do urzeczywistnienia tego celu,
podlega karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.
§ 2. Kto czyni przygotowania do popełnienia przestępstwa określonego w § 1,
podlega karze pozbawienia wolności od lat 3 do 20."
Art. 128. Zamach na organ konstytucyjny RP;"§ 1. Kto, w celu usunięcia przemocą konstytucyjnego organu Rzeczypospolitej Polskiej, podejmuje działalność zmierzającą bezpośrednio do urzeczywistnienia tego celu,
podlega karze pozbawienia wolności od lat 3 do 20.
§ 2. Kto czyni przygotowania do popełnienia przestępstwa określonego w § 1,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 3. Kto przemocą lub groźbą bezprawną wywiera wpływ na czynności urzędowe konstytucyjnego organu Rzeczypospolitej Polskiej,
podlega karze pozbawienia wolności od roku do lat 10."
Art. 129. Zdrada dyplomatyczna;"Kto, będąc upoważniony do występowania w imieniu Rzeczypospolitej Polskiej w stosunkach z rządem obcego państwa lub zagraniczną organizacją, działa na szkodę Rzeczypospolitej Polskiej,
podlega karze pozbawienia wolności od roku do lat 10."
Art. 130. Szpiegostwo;"§ 1. Kto bierze udział w działalności obcego wywiadu albo działa na jego rzecz, przeciwko Rzeczypospolitej Polskiej,
podlega karze pozbawienia wolności na czas nie krótszy od lat 5.
§ 2. Kto, biorąc udział w działalności obcego wywiadu albo działając na jego rzecz, udziela temu wywiadowi wiadomości, której przekazanie może wyrządzić szkodę Rzeczypospolitej Polskiej,
podlega karze pozbawienia wolności na czas nie krótszy od lat 8 albo karze dożywotniego pozbawienia wolności.
§ 3. Kto zgłasza gotowość działania na rzecz obcego wywiadu przeciwko Rzeczypospolitej Polskiej albo w celu udzielenia obcemu wywiadowi wiadomości, których przekazanie może wyrządzić szkodę Rzeczypospolitej Polskiej, gromadzi je lub przechowuje lub wchodzi do systemu informatycznego w celu ich uzyskania,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 4. Kto działalność obcego wywiadu, o której mowa w § 1, organizuje lub nią kieruje,
podlega karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.
§ 5. Funkcjonariusz publiczny oraz osoba pełniąca dyspozycyjnie terytorialną służbę wojskową, dopuszczający się czynu, o którym mowa w § 1,
podlega karze pozbawienia wolności na czas nie krótszy od lat 8 albo karze dożywotniego pozbawienia wolności.
§ 6. Kto bierze udział w działalności obcego wywiadu nieskierowanej przeciwko Rzeczypospolitej Polskiej prowadzonej na jej terytorium bez zgody właściwego organu udzielonej na podstawie odrębnych przepisów,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 7. Kto, biorąc udział w działalności obcego wywiadu albo działając na jego rzecz, dokonuje dywersji, sabotażu lub dopuszcza się przestępstwa o charakterze terrorystycznym,
podlega karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.
§ 8. Kto czyni przygotowania do przestępstwa określonego w § 7,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 9. Kto, biorąc udział w działalności obcego wywiadu albo działając na jego rzecz, prowadzi dezinformację, polegającą na rozpowszechnianiu nieprawdziwych lub wprowadzających w błąd informacji, mając na celu wywołanie poważnych zakłóceń w ustroju lub gospodarce Rzeczypospolitej Polskiej, państwa sojuszniczego lub organizacji międzynarodowej, której członkiem jest Rzeczpospolita Polska albo skłonienie organu władzy publicznej Rzeczypospolitej Polskiej, państwa sojuszniczego lub organizacji międzynarodowej, której członkiem jest Rzeczpospolita Polska, do podjęcia lub zaniechania określonych czynności,
podlega karze pozbawienia wolności na czas nie krótszy od lat 8."
Art. 131. Czynny żal sprawcy przestępstwa przeciwko Rzeczypospolitej Polskiej;"§ 1. Nie podlega karze za usiłowanie przestępstwa określonego w art. 127 zamach stanu § 1, art. 128 zamach na organ konstytucyjny RP § 1 lub art. 130 szpiegostwo § 1, 2, 5, 7 i 9 kto dobrowolnie poniechał dalszej działalności i ujawnił wobec organu powołanego do ścigania przestępstw wszystkie istotne okoliczności popełnionego czynu; przepis art. 17 dobrowolne odstąpienia od przygotowania § 2 stosuje się odpowiednio.
§ 2. Nie podlega karze za przestępstwo określone w art. 128 zamach na organ konstytucyjny RP § 2, art. 129 zdrada dyplomatyczna lub art. 130 szpiegostwo § 3, 6 i 8, kto dobrowolnie poniechał dalszej działalności i podjął istotne starania zmierzające do zapobieżenia popełnieniu zamierzonego czynu zabronionego oraz ujawnił wobec organu powołanego do ścigania przestępstw wszystkie istotne okoliczności popełnionego czynu."
Art. 132. Dezinformacja wywiadowcza;"Kto, oddając usługi wywiadowcze Rzeczypospolitej Polskiej, wprowadza w błąd polski organ państwowy przez dostarczanie podrobionych lub przerobionych dokumentów lub innych przedmiotów albo przez ukrywanie prawdziwych lub udzielanie fałszywych wiadomości mających istotne znaczenie dla Rzeczypospolitej Polskiej,
podlega karze pozbawienia wolności od roku do lat 10."
Art. 132a. Utracił moc;
Art. 133. Znieważenie Narodu lub Rzeczpospolitej Polskiej;"Kto publicznie znieważa Naród lub Rzeczpospolitą Polską,
podlega karze pozbawienia wolności do lat 3."
Art. 134. Zamach na życie Prezydenta RP;"Kto dopuszcza się zamachu na życie Prezydenta Rzeczypospolitej Polskiej,
podlega karze pozbawienia wolności na czas nie krótszy od lat 12 albo karze dożywotniego pozbawienia wolności."
Art. 135. Czynna napaść lub znieważenie Prezydenta RP;"§ 1. Kto dopuszcza się czynnej napaści na Prezydenta Rzeczypospolitej Polskiej,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Kto publicznie znieważa Prezydenta Rzeczypospolitej Polskiej,
podlega karze pozbawienia wolności do lat 3."
Art. 136. Czynna napaść lub znieważenie przedstawiciela obcego państwa;"§ 1. Kto na terytorium Rzeczypospolitej Polskiej dopuszcza się czynnej napaści na głowę obcego państwa lub akredytowanego szefa przedstawicielstwa dyplomatycznego takiego państwa albo osobę korzystającą z podobnej ochrony na mocy ustaw, umów lub powszechnie uznanych zwyczajów międzynarodowych,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Kto na terytorium Rzeczypospolitej Polskiej dopuszcza się czynnej napaści na osobę należącą do personelu dyplomatycznego przedstawicielstwa obcego państwa albo urzędnika konsularnego obcego państwa, w związku z pełnieniem przez nich obowiązków służbowych,
podlega karze pozbawienia wolności do lat 3.
§ 3. Karze określonej w § 2 podlega, kto na terytorium Rzeczypospolitej Polskiej publicznie znieważa osobę określoną w § 1.
§ 4. Kto na terytorium Rzeczypospolitej Polskiej publicznie znieważa osobę określoną w § 2,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku."
Art. 137. Publiczne znieważenie znaku lub symbolu państwa;"§ 1. Kto publicznie znieważa, niszczy, uszkadza lub usuwa godło, sztandar, chorągiew, banderę, flagę lub inny znak państwowy,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 2. Tej samej karze podlega, kto na terytorium Rzeczypospolitej Polskiej znieważa, niszczy, uszkadza lub usuwa godło, sztandar, chorągiew, banderę, flagę lub inny znak państwa obcego, wystawione publicznie przez przedstawicielstwo tego państwa lub na zarządzenie polskiego organu władzy."
Art. 138. Zasada wzajemności państw;"§ 1. Przepisy art. 136 czynna napaść lub znieważenie przedstawiciela obcego państwa oraz art. 137 publiczne znieważenie znaku lub symbolu państwa § 2 stosuje się, jeżeli państwo obce zapewnia wzajemność.
§ 2. Przepisy art. 127 zamach stanu, art. 128 zamach na organ konstytucyjny RP, art. 130 szpiegostwo oraz art. 131 czynny żal sprawcy przestępstwa przeciwko Rzeczypospolitej Polskiej stosuje się odpowiednio, jeżeli czyn zabroniony popełniono na szkodę państwa sojuszniczego, a państwo to zapewnia wzajemność."
Art. 139. Przepadek przedmiotów;W sprawie o przestępstwo określone w art. 127 zamach stanu, art. 128 zamach na organ konstytucyjny RP oraz art. 130 szpiegostwo sąd może orzec przepadek przedmiotów również wtedy, gdy przedmioty nie stanowią własności sprawcy.
Art. 140. Zamach na jednostkę sił zbrojnych RP, obiekt albo urządzenie o znaczeniu obronnym;"§ 1. Kto, w celu osłabienia mocy obronnej Rzeczypospolitej Polskiej, dopuszcza się gwałtownego zamachu na jednostkę Sił Zbrojnych Rzeczypospolitej Polskiej, niszczy lub uszkadza obiekt albo urządzenie o znaczeniu obronnym,
podlega karze pozbawienia wolności od roku do lat 10.
§ 2. Jeżeli następstwem czynu jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca
podlega karze pozbawienia wolności od lat 2 do 15.
§ 3. Kto czyni przygotowania do przestępstwa określonego w § 1,
podlega karze pozbawienia wolności do lat 3.
§ 4. W sprawie o przestępstwo określone w § 1–3 sąd może orzec przepadek przedmiotów również wtedy, gdy przedmioty nie stanowią własności sprawcy."
Art. 141. Podjęcie służby w obcym wojsku lub wojskowej służbie najemnej;"§ 1. Kto, będąc obywatelem polskim, przyjmuje bez zgody właściwego organu obowiązki wojskowe w obcym wojsku lub w obcej organizacji wojskowej,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Kto przyjmuje obowiązki w zakazanej przez prawo międzynarodowe wojskowej służbie najemnej,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 3. Nie popełnia przestępstwa określonego w § 1 obywatel polski będący równocześnie obywatelem innego państwa, jeżeli zamieszkuje na jego terytorium i pełni tam służbę wojskową."
Art. 142. Prowadzenie zaciągu do obcego wojska lub w obcej organizacji wojskowej;"§ 1. Kto, wbrew przepisom ustawy, prowadzi zaciąg obywateli polskich lub przebywających w Rzeczypospolitej Polskiej cudzoziemców do służby wojskowej w obcym wojsku lub w obcej organizacji wojskowej,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Kto prowadzi zaciąg obywateli polskich lub przebywających w Rzeczypospolitej Polskiej cudzoziemców do służby w zakazanej przez prawo międzynarodowe wojskowej służbie najemnej albo taką służbę najemną opłaca, organizuje, szkoli lub wykorzystuje,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8."
Art. 143. Samouszkodzenie w celu zwolnienia od obowiązku służby wojskowej albo odroczenia służby;"§ 1. Kto, w celu uzyskania zwolnienia od obowiązku służby wojskowej albo odroczenia tej służby, powoduje u siebie lub dopuszcza, by kto inny spowodował u niego skutek określony w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 lub art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1 albo w tym celu używa podstępu dla wprowadzenia w błąd właściwego organu,
podlega karze pozbawienia wolności do lat 3.
§ 2. Tej samej karze podlega, kto, w celu ułatwienia innej osobie zwolnienia od obowiązku służby wojskowej albo odroczenia tej służby, za jej zgodą powoduje u niej skutek określony w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 lub art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1 albo w tym celu używa podstępu dla wprowadzenia w błąd właściwego organu.
§ 3. Kto dopuszcza się czynu zabronionego określonego w § 1 lub 2, jeżeli obowiązek dotyczy służby zastępującej służbę wojskową,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 144. Niezgłaszanie się do odbywania czynnej służby wojskowej;"§ 1. Kto, będąc powołanym do pełnienia czynnej służby wojskowej, nie zgłasza się do odbywania tej służby w określonym terminie i miejscu,
podlega karze pozbawienia wolności do lat 3.
§ 2. W wypadku mniejszej wagi, sprawca
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 3. Kto nie zgłasza się do odbywania służby zastępującej służbę wojskową w warunkach określonych w § 1,
podlega grzywnie albo karze ograniczenia wolności."
Art. 145. Uchylanie się od zastępczej służby wojskowej;"§ 1. Kto, odbywając służbę zastępującą służbę wojskową:
1) odmawia pełnienia tej służby, złośliwie lub uporczywie odmawia wykonania obowiązku wynikającego z tej służby albo polecenia w sprawach
służbowych,
2) w celu częściowego lub zupełnego uchylenia się od tej służby albo wykonania obowiązku wynikającego z tej służby:
a) powoduje u siebie lub dopuszcza, by kto inny spowodował u niego skutek określony w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 lub art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1,
b) używa podstępu dla wprowadzenia w błąd przełożonego,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 2. Tej samej karze podlega, kto, pełniąc służbę określoną w § 1, samowolnie opuszcza wyznaczone miejsce wykonywania obowiązków służbowych lub samowolnie poza nim pozostaje.
§ 3. Jeżeli sprawca czynu zabronionego określonego w § 2 opuszcza, w celu trwałego uchylenia się od tej służby, wyznaczone miejsce wykonywania obowiązków służbowych albo w takim celu poza nimi pozostaje,
podlega karze pozbawienia wolności do lat 3."
Art. 146. Dobrowolny powrót na miejsce pełnienia służby wojskowej;Jeżeli sprawca przestępstwa określonego w art. 145 uchylanie się od zastępczej służby wojskowej § 2 i 3 dobrowolnie powrócił, a jego nieobecność trwała nie dłużej niż 14 dni, sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia.
Art. 147. Niezdolność do służby;W stosunku do sprawcy przestępstwa określonego w art. 143 samouszkodzenie w celu zwolnienia od obowiązku służby wojskowej albo odroczenia służby § 1 lub w art. 144 niezgłaszanie się do odbywania czynnej służby wojskowej lub art. 145 uchylanie się od zastępczej służby wojskowej, który w chwili czynu był niezdolny do pełnienia służby wojskowej, sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia.
Art. 148. Zabójstwo;"§ 1. Kto zabija człowieka
podlega karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.
§ 2. Kto zabija człowieka:
1) ze szczególnym okrucieństwem,
2) w związku z wzięciem zakładnika, zgwałceniem albo rozbojem,
3) w wyniku motywacji zasługującej na szczególne potępienie,
4) z użyciem materiałów wybuchowych,
podlega karze pozbawienia wolności na czas nie krótszy od lat 15 albo karze dożywotniego pozbawienia wolności.
§ 3. Karze określonej w § 2 podlega, kto jednym czynem zabija więcej niż jedną osobę lub był wcześniej prawomocnie skazany za zabójstwo oraz sprawca zabójstwa funkcjonariusza publicznego popełnionego podczas lub w związku z pełnieniem przez niego obowiązków służbowych związanych z ochroną bezpieczeństwa ludzi lub ochroną bezpieczeństwa lub porządku publicznego.
§ 4. Kto zabija człowieka pod wpływem silnego wzburzenia usprawiedliwionego okolicznościami,
podlega karze pozbawienia wolności od roku do lat 10.
§ 5. Kto czyni przygotowania do przestępstwa określonego w § 1, 2 lub 3,
podlega karze pozbawienia wolności od lat 2 do 15."
Art. 148a. Przyjęcie zlecenia zabójstwa człowieka;"§ 1. Kto przyjmuje zlecenie zabójstwa człowieka w zamian za udzieloną lub obiecaną korzyść majątkową lub osobistą,
podlega karze pozbawienia wolności od lat 2 do 15.
§ 2. Nie podlega karze za przestępstwo określone w § 1, kto przed wszczęciem postępowania karnego ujawnił wobec organu powołanego do ścigania przestępstw osobę lub osoby zlecające zabójstwo oraz istotne okoliczności popełnionego czynu."
Art. 149. Dzieciobójstwo;"Matka, która zabija dziecko w okresie porodu pod wpływem jego przebiegu,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
Art. 150. Zabójstwo eutanatyczne;"§ 1. Kto zabija człowieka na jego żądanie i pod wpływem współczucia dla niego,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. W wyjątkowych wypadkach sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia."
Art. 151. Namowa do samobójstwa i udzielenie pomocy;"Kto namową lub przez udzielenie pomocy doprowadza człowieka do targnięcia się na własne życie,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
Art. 152. Przerwanie ciąży za zgodą kobiety;"§ 1. Kto za zgodą kobiety przerywa jej ciążę z naruszeniem przepisów ustawy,
podlega karze pozbawienia wolności do lat 3.
§ 2. Tej samej karze podlega, kto udziela kobiecie ciężarnej pomocy w przerwaniu ciąży z naruszeniem przepisów ustawy lub ją do tego nakłania.
§ 3. Kto dopuszcza się czynu określonego w § 1 lub 2, gdy dziecko poczęte osiągnęło zdolność do samodzielnego życia poza organizmem kobiety ciężarnej,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8."
Art. 153. Wymuszone przerwanie ciąży;"§ 1. Kto stosując przemoc wobec kobiety ciężarnej lub w inny sposób bez jej zgody przerywa ciążę albo przemocą, groźbą bezprawną lub podstępem doprowadza kobietę ciężarną do przerwania ciąży,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. Kto dopuszcza się czynu określonego w § 1, gdy dziecko poczęte osiągnęło zdolność do samodzielnego życia poza organizmem kobiety ciężarnej,
podlega karze pozbawienia wolności od roku do lat 10."
Art. 154. śmierć kobiety w następstwie aborcji;"§ 1. Jeżeli następstwem czynu określonego w art. 152 przerwanie ciąży za zgodą kobiety § 1 lub 2 jest śmierć kobiety ciężarnej, sprawca
podlega karze pozbawienia wolności od roku do lat 10.
§ 2. Jeżeli następstwem czynu określonego w art. 152 przerwanie ciąży za zgodą kobiety § 3 lub w art. 153 wymuszone przerwanie ciąży jest śmierć kobiety ciężarnej, sprawca
podlega karze pozbawienia wolności od lat 2 do 15."
Art. 155. Nieumyślne spowodowanie śmierci;"Kto nieumyślnie powoduje śmierć człowieka,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
