;crime;penalty
10;§ 1. Kto w czasie działań zbrojnych atakuje miejscowość lub obiekt niebroniony, strefę sanitarną, zdemilitaryzowaną lub zneutralizowaną albo stosuje inny sposób walki zakazany przez prawo międzynarodowe,;karze pozbawienia wolności od lat 5 do 25.
11;"§ 1. Kto, naruszając prawo międzynarodowe, dopuszcza się zabójstwa wobec:
1) osób, które składając broń lub nie dysponując środkami obrony poddały się,
2) rannych, chorych, rozbitków, personelu medycznego lub osób duchownych,
3) jeńców wojennych,
4) ludności cywilnej obszaru okupowanego, zajętego lub na którym toczą się działania zbrojne, albo innych osób korzystających w czasie działań zbrojnych z ochrony międzynarodowej,";karze pozbawienia wolności na czas nie krótszy od lat 12 albo karze dożywotniego pozbawienia wolności.
12; 2. Kto, naruszając prawo międzynarodowe, powoduje u osób wymienionych w § 1 ciężki uszczerbek na zdrowiu, poddaje te osoby torturom, okrutnemu lub nieludzkiemu traktowaniu, dokonuje na nich, nawet za ich zgodą, eksperymentów poznawczych, używa ich do ochraniania swoją obecnością określonego terenu lub obiektu przed działaniami zbrojnymi albo własnych oddziałów lub zatrzymuje jako zakładników,;karze pozbawienia wolności od lat 5 do 25.
13;§ 1. Kto, naruszając prawo międzynarodowe, zmusza osoby wymienione w art. 123 zamach na życie lub zdrowie jeńców wojennych albo ludności cywilnej § 1 do służby w nieprzyjacielskich siłach zbrojnych lub do uczestnictwa w działaniach zbrojnych skierowanych przeciwko własnemu krajowi, stosuje kary cielesne, przemocą, groźbą bezprawną lub podstępem doprowadza te osoby do obcowania płciowego, poddania się innej czynności seksualnej albo do wykonania takiej czynności, dopuszcza się zamachu na godność osobistą, w szczególności poniżającego i upokarzającego traktowania, pozbawia wolności, pozbawia prawa do niezawisłego i bezstronnego sądu albo ogranicza prawo tych osób do obrony w postępowaniu karnym, ogłasza prawa lub roszczenia obywateli strony przeciwnej za wygasłe, zawieszone lub niedopuszczalne do dochodzenia przed sądem,;karze pozbawienia wolności od lat 3 do 20.
14;"§ 1. Kto, na obszarze okupowanym, zajętym lub na którym toczą się
działania zbrojne, naruszając prawo międzynarodowe, niszczy, uszkadza, zabiera lub przywłaszcza mienie albo dobro kultury";karze pozbawienia wolności od roku do lat 10.
15;§ 1. Kto w czasie działań zbrojnych używa niezgodnie z prawem międzynarodowym znaku Czerwonego Krzyża lub Czerwonego Półksiężyca,; 2. Jeżeli czyn dotyczy mienia znacznej wartości albo dobra o szczególnym znaczeniu dla kultury, sprawca podlega karze pozbawienia wolności od lat 3 do 20.
16;Kto publicznie nawołuje do popełnienia czynu określonego w art. 118 ludobójstwo, art. 118a udział w masowym zamachu, art. 119 dyskryminacja § 1, art 120–125 lub publicznie pochwala popełnienie czynu określonego w tych przepisach,;karze pozbawienia wolności do lat 3.
17;§ 1. Kto, nie dopełniając obowiązku należytej kontroli, dopuszcza do popełnienia czynu określonego w art. 117 wojna napastnicza § 3, art. 118 ludobójstwo, art. 118a udział w masowym zamachu, art. 119 dyskryminacja § 1, art 120–126a przez osobę pozostającą pod jego faktyczną władzą lub kontrolą,;karze pozbawienia wolności od 3 miesięcy do lat 5.
18; 2. Jeżeli sprawca działa nieumyślnie,;karze określonej w tych przepisach.
19;§ 1. Kto czyni przygotowania do przestępstwa określonego w art. 117 wojna napastnicza, art. 118 ludobójstwo lub art. 120 stosowanie środków masowej zagłady,;karze pozbawienia wolności od 3 miesięcy do lat 5.
20; 2. Kto czyni przygotowania do przestępstwa określonego w art. 118a udział w masowym zamachu § 1 lub § 2, art. 122 niedopuszczalne sposoby lub środki walki lub art. 123 zamach na życie lub zdrowie jeńców wojennych albo ludności cywilnej,;karze pozbawienia wolności od lat 3 do 20.
21; 3. Kto czyni przygotowania do przestępstwa określonego w art. 124 inne naruszenia przepisów prawa międzynarodowego § 1 lub art. 125 niszczenie, uszkadzanie, zabieranie lub przywłaszczanie mienia lub dobra kultury,;karze pozbawienia wolności od roku do lat 10.
22;§ 1. Kto, mając na celu pozbawienie niepodległości, oderwanie części obszaru lub zmianę przemocą konstytucyjnego ustroju Rzeczypospolitej Polskiej, podejmuje w porozumieniu z innymi osobami działalność zmierzającą bezpośrednio do urzeczywistnienia tego celu,;karze pozbawienia wolności do lat 3.
23; 2. Kto czyni przygotowania do popełnienia przestępstwa określonego w § 1,;karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.
24;§ 1. Kto, w celu usunięcia przemocą konstytucyjnego organu Rzeczypospolitej Polskiej, podejmuje działalność zmierzającą bezpośrednio do urzeczywistnienia tego celu,;karze pozbawienia wolności od lat 3 do 20.
25; 2. Kto czyni przygotowania do popełnienia przestępstwa określonego w § 1,;karze pozbawienia wolności od lat 3 do 20.
26; 3. Kto przemocą lub groźbą bezprawną wywiera wpływ na czynności urzędowe konstytucyjnego organu Rzeczypospolitej Polskiej,;karze pozbawienia wolności od 3 miesięcy do lat 5.
27;Kto, będąc upoważniony do występowania w imieniu Rzeczypospolitej Polskiej w stosunkach z rządem obcego państwa lub zagraniczną organizacją, działa na szkodę Rzeczypospolitej Polskiej,;karze pozbawienia wolności od roku do lat 10.
28;§ 1. Kto bierze udział w działalności obcego wywiadu albo działa na jego rzecz, przeciwko Rzeczypospolitej Polskiej,;karze pozbawienia wolności od roku do lat 10.
29; 2. Kto, biorąc udział w działalności obcego wywiadu albo działając na jego rzecz, udziela temu wywiadowi wiadomości, której przekazanie może wyrządzić szkodę Rzeczypospolitej Polskiej,;karze pozbawienia wolności na czas nie krótszy od lat 5.
30; 3. Kto zgłasza gotowość działania na rzecz obcego wywiadu przeciwko Rzeczypospolitej Polskiej albo w celu udzielenia obcemu wywiadowi wiadomości, których przekazanie może wyrządzić szkodę Rzeczypospolitej Polskiej, gromadzi je lub przechowuje lub wchodzi do systemu informatycznego w celu ich uzyskania,;karze pozbawienia wolności na czas nie krótszy od lat 8 albo karze dożywotniego pozbawienia wolności.
31; 4. Kto działalność obcego wywiadu, o której mowa w § 1, organizuje lub nią kieruje,;karze pozbawienia wolności od 6 miesięcy do lat 8.
32; 5. Funkcjonariusz publiczny oraz osoba pełniąca dyspozycyjnie terytorialną służbę wojskową, dopuszczający się czynu, o którym mowa w § 1,;karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.
33; 6. Kto bierze udział w działalności obcego wywiadu nieskierowanej przeciwko Rzeczypospolitej Polskiej prowadzonej na jej terytorium bez zgody właściwego organu udzielonej na podstawie odrębnych przepisów,;karze pozbawienia wolności na czas nie krótszy od lat 8 albo karze dożywotniego pozbawienia wolności.
34; 7. Kto, biorąc udział w działalności obcego wywiadu albo działając na jego rzecz, dokonuje dywersji, sabotażu lub dopuszcza się przestępstwa o charakterze terrorystycznym,;karze pozbawienia wolności od 6 miesięcy do lat 8.
35; 8. Kto czyni przygotowania do przestępstwa określonego w § 7,;karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.
36; 9. Kto, biorąc udział w działalności obcego wywiadu albo działając na jego rzecz, prowadzi dezinformację, polegającą na rozpowszechnianiu nieprawdziwych lub wprowadzających w błąd informacji, mając na celu wywołanie poważnych zakłóceń w ustroju lub gospodarce Rzeczypospolitej Polskiej, państwa sojuszniczego lub organizacji międzynarodowej, której członkiem jest Rzeczpospolita Polska albo skłonienie organu władzy publicznej Rzeczypospolitej Polskiej, państwa sojuszniczego lub organizacji międzynarodowej, której członkiem jest Rzeczpospolita Polska, do podjęcia lub zaniechania określonych czynności,;karze pozbawienia wolności od 6 miesięcy do lat 8.
37;Kto, oddając usługi wywiadowcze Rzeczypospolitej Polskiej, wprowadza w błąd polski organ państwowy przez dostarczanie podrobionych lub przerobionych dokumentów lub innych przedmiotów albo przez ukrywanie prawdziwych lub udzielanie fałszywych wiadomości mających istotne znaczenie dla Rzeczypospolitej Polskiej,;karze pozbawienia wolności na czas nie krótszy od lat 8.
38;;karze pozbawienia wolności od roku do lat 10.
39;Kto publicznie znieważa Naród lub Rzeczpospolitą Polską,;karze pozbawienia wolności do lat 3.
40;Kto dopuszcza się zamachu na życie Prezydenta Rzeczypospolitej Polskiej,;karze pozbawienia wolności na czas nie krótszy od lat 12 albo karze dożywotniego pozbawienia wolności.
41;§ 1. Kto dopuszcza się czynnej napaści na Prezydenta Rzeczypospolitej Polskiej,;karze pozbawienia wolności od 3 miesięcy do lat 5.
42; 2. Kto publicznie znieważa Prezydenta Rzeczypospolitej Polskiej,;karze pozbawienia wolności do lat 3.
43;§ 1. Kto na terytorium Rzeczypospolitej Polskiej dopuszcza się czynnej napaści na głowę obcego państwa lub akredytowanego szefa przedstawicielstwa dyplomatycznego takiego państwa albo osobę korzystającą z podobnej ochrony na mocy ustaw, umów lub powszechnie uznanych zwyczajów międzynarodowych,;karze pozbawienia wolności od 3 miesięcy do lat 5.
44; 2. Kto na terytorium Rzeczypospolitej Polskiej dopuszcza się czynnej napaści na osobę należącą do personelu dyplomatycznego przedstawicielstwa obcego państwa albo urzędnika konsularnego obcego państwa, w związku z pełnieniem przez nich obowiązków służbowych,;karze pozbawienia wolności do lat 3.
45; 3. Karze określonej w § 2 podlega, kto na terytorium Rzeczypospolitej Polskiej publicznie znieważa osobę określoną w § 1.;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
46; 4. Kto na terytorium Rzeczypospolitej Polskiej publicznie znieważa osobę określoną w § 2,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
47;§ 1. Kto publicznie znieważa, niszczy, uszkadza lub usuwa godło, sztandar, chorągiew, banderę, flagę lub inny znak państwowy,;karze pozbawienia wolności od roku do lat 10.
48;§ 1. Przepisy art. 136 czynna napaść lub znieważenie przedstawiciela obcego państwa oraz art. 137 publiczne znieważenie znaku lub symbolu państwa § 2 stosuje się, jeżeli państwo obce zapewnia wzajemność.;karze pozbawienia wolności od lat 2 do 15.
49; 2. Przepisy art. 127 zamach stanu, art. 128 zamach na organ konstytucyjny RP, art. 130 szpiegostwo oraz art. 131 czynny żal sprawcy przestępstwa przeciwko Rzeczypospolitej Polskiej stosuje się odpowiednio, jeżeli czyn zabroniony popełniono na szkodę państwa sojuszniczego, a państwo to zapewnia wzajemność.;karze pozbawienia wolności do lat 3.
50;W sprawie o przestępstwo określone w art. 127 zamach stanu, art. 128 zamach na organ konstytucyjny RP oraz art. 130 szpiegostwo sąd może orzec przepadek przedmiotów również wtedy, gdy przedmioty nie stanowią własności sprawcy.;karze pozbawienia wolności od 3 miesięcy do lat 5.
51;§ 1. Kto, w celu osłabienia mocy obronnej Rzeczypospolitej Polskiej, dopuszcza się gwałtownego zamachu na jednostkę Sił Zbrojnych Rzeczypospolitej Polskiej, niszczy lub uszkadza obiekt albo urządzenie o znaczeniu obronnym,;karze pozbawienia wolności od 6 miesięcy do lat 8.
52; 2. Jeżeli następstwem czynu jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca;karze pozbawienia wolności od 3 miesięcy do lat 5.
53; 3. Kto czyni przygotowania do przestępstwa określonego w § 1,;karze pozbawienia wolności od 6 miesięcy do lat 8.
54; 4. W sprawie o przestępstwo określone w § 1–3 sąd może orzec przepadek przedmiotów również wtedy, gdy przedmioty nie stanowią własności sprawcy.;karze pozbawienia wolności do lat 3.
55;§ 1. Kto, będąc obywatelem polskim, przyjmuje bez zgody właściwego organu obowiązki wojskowe w obcym wojsku lub w obcej organizacji wojskowej,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
56; 2. Kto przyjmuje obowiązki w zakazanej przez prawo międzynarodowe wojskowej służbie najemnej,;karze pozbawienia wolności do lat 3.
57; 3. Nie popełnia przestępstwa określonego w § 1 obywatel polski będący równocześnie obywatelem innego państwa, jeżeli zamieszkuje na jego terytorium i pełni tam służbę wojskową.;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
58;§ 1. Kto, wbrew przepisom ustawy, prowadzi zaciąg obywateli polskich lub przebywających w Rzeczypospolitej Polskiej cudzoziemców do służby wojskowej w obcym wojsku lub w obcej organizacji wojskowej,;grzywnie albo karze ograniczenia wolności.
59; 2. Kto prowadzi zaciąg obywateli polskich lub przebywających w Rzeczypospolitej Polskiej cudzoziemców do służby w zakazanej przez prawo międzynarodowe wojskowej służbie najemnej albo taką służbę najemną opłaca, organizuje, szkoli lub wykorzystuje,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
60;§ 1. Kto, w celu uzyskania zwolnienia od obowiązku służby wojskowej albo odroczenia tej służby, powoduje u siebie lub dopuszcza, by kto inny spowodował u niego skutek określony w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 lub art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1 albo w tym celu używa podstępu dla wprowadzenia w błąd właściwego organu,;karze pozbawienia wolności do lat 3.
61; 3. Kto dopuszcza się czynu zabronionego określonego w § 1 lub 2, jeżeli obowiązek dotyczy służby zastępującej służbę wojskową,;karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.
62;§ 1. Kto, będąc powołanym do pełnienia czynnej służby wojskowej, nie zgłasza się do odbywania tej służby w określonym terminie i miejscu,;karze pozbawienia wolności na czas nie krótszy od lat 15 albo karze dożywotniego pozbawienia wolności.
63; 2. W wypadku mniejszej wagi, sprawca;karze pozbawienia wolności od roku do lat 10.
64; 3. Kto nie zgłasza się do odbywania służby zastępującej służbę wojskową w warunkach określonych w § 1,;karze pozbawienia wolności od lat 2 do 15.
65;"§ 1. Kto, odbywając służbę zastępującą służbę wojskową:
1) odmawia pełnienia tej służby, złośliwie lub uporczywie odmawia wykonania obowiązku wynikającego z tej służby albo polecenia w sprawach
służbowych,
2) w celu częściowego lub zupełnego uchylenia się od tej służby albo wykonania obowiązku wynikającego z tej służby:
a) powoduje u siebie lub dopuszcza, by kto inny spowodował u niego skutek określony w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 lub art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1,
b) używa podstępu dla wprowadzenia w błąd przełożonego,";karze pozbawienia wolności od lat 2 do 15.
66; 3. Jeżeli sprawca czynu zabronionego określonego w § 2 opuszcza, w celu trwałego uchylenia się od tej służby, wyznaczone miejsce wykonywania obowiązków służbowych albo w takim celu poza nimi pozostaje,;karze pozbawienia wolności od 3 miesięcy do lat 5.
67;Jeżeli sprawca przestępstwa określonego w art. 145 uchylanie się od zastępczej służby wojskowej § 2 i 3 dobrowolnie powrócił, a jego nieobecność trwała nie dłużej niż 14 dni, sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia.;karze pozbawienia wolności od 3 miesięcy do lat 5.
68;W stosunku do sprawcy przestępstwa określonego w art. 143 samouszkodzenie w celu zwolnienia od obowiązku służby wojskowej albo odroczenia służby § 1 lub w art. 144 niezgłaszanie się do odbywania czynnej służby wojskowej lub art. 145 uchylanie się od zastępczej służby wojskowej, który w chwili czynu był niezdolny do pełnienia służby wojskowej, sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia.;karze pozbawienia wolności od 3 miesięcy do lat 5.
69;§ 1. Kto zabija człowieka;karze pozbawienia wolności do lat 3.
70;" 2. Kto zabija człowieka:
1) ze szczególnym okrucieństwem,
2) w związku z wzięciem zakładnika, zgwałceniem albo rozbojem,
3) w wyniku motywacji zasługującej na szczególne potępienie,
4) z użyciem materiałów wybuchowych,";karze pozbawienia wolności od 6 miesięcy do lat 8.
71; 3. Karze określonej w § 2 podlega, kto jednym czynem zabija więcej niż jedną osobę lub był wcześniej prawomocnie skazany za zabójstwo oraz sprawca zabójstwa funkcjonariusza publicznego popełnionego podczas lub w związku z pełnieniem przez niego obowiązków służbowych związanych z ochroną bezpieczeństwa ludzi lub ochroną bezpieczeństwa lub porządku publicznego.;karze pozbawienia wolności od 6 miesięcy do lat 8.
72; 4. Kto zabija człowieka pod wpływem silnego wzburzenia usprawiedliwionego okolicznościami,;karze pozbawienia wolności od roku do lat 10.
73; 5. Kto czyni przygotowania do przestępstwa określonego w § 1, 2 lub 3,;karze pozbawienia wolności od roku do lat 10.
74;§ 1. Kto przyjmuje zlecenie zabójstwa człowieka w zamian za udzieloną lub obiecaną korzyść majątkową lub osobistą,;karze pozbawienia wolności od lat 2 do 15.
75;Matka, która zabija dziecko w okresie porodu pod wpływem jego przebiegu,;karze pozbawienia wolności od 3 miesięcy do lat 5.
76;§ 1. Kto zabija człowieka na jego żądanie i pod wpływem współczucia dla niego,;karze pozbawienia wolności od lat 3 do 20.
77; 2. W wyjątkowych wypadkach sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia.;karze pozbawienia wolności do lat 3.
78;Kto namową lub przez udzielenie pomocy doprowadza człowieka do targnięcia się na własne życie,;karze pozbawienia wolności na czas nie krótszy od lat 5 albo karze dożywotniego pozbawienia wolności.
79;§ 1. Kto za zgodą kobiety przerywa jej ciążę z naruszeniem przepisów ustawy,;karze pozbawienia wolności do lat 3.
80; 3. Kto dopuszcza się czynu określonego w § 1 lub 2, gdy dziecko poczęte osiągnęło zdolność do samodzielnego życia poza organizmem kobiety ciężarnej,;karze pozbawienia wolności od 3 miesięcy do 5 lat.
81;§ 1. Kto stosując przemoc wobec kobiety ciężarnej lub w inny sposób bez jej zgody przerywa ciążę albo przemocą, groźbą bezprawną lub podstępem doprowadza kobietę ciężarną do przerwania ciąży,;karze pozbawienia wolności od 3 miesięcy do lat 5.
82; 2. Kto dopuszcza się czynu określonego w § 1, gdy dziecko poczęte osiągnęło zdolność do samodzielnego życia poza organizmem kobiety ciężarnej,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
83;§ 1. Jeżeli następstwem czynu określonego w art. 152 przerwanie ciąży za zgodą kobiety § 1 lub 2 jest śmierć kobiety ciężarnej, sprawca;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
84; 2. Jeżeli następstwem czynu określonego w art. 152 przerwanie ciąży za zgodą kobiety § 3 lub w art. 153 wymuszone przerwanie ciąży jest śmierć kobiety ciężarnej, sprawca;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
85;Kto nieumyślnie powoduje śmierć człowieka,;karze pozbawienia wolności od 3 miesięcy do lat 5.
86;"§ 1. Kto powoduje ciężki uszczerbek na zdrowiu w postaci:
1) pozbawienia człowieka wzroku, słuchu, mowy, zdolności płodzenia,
2) innego ciężkiego kalectwa, ciężkiej choroby nieuleczalnej lub długotrwałej, choroby realnie zagrażającej życiu, trwałej choroby psychicznej, całkowitej albo znacznej trwałej niezdolności do pracy w zawodzie lub trwałego, istotnego zeszpecenia lub zniekształcenia ciała,
3) wycięcia, infibulacji lub innego trwałego i istotnego okaleczenia żeńskiego narządu płciowego,";karze pozbawienia wolności od roku do lat 10.
87; 2. Jeżeli sprawca działa nieumyślnie,;karze pozbawienia wolności od lat 2 do 15.
88; 3. Jeżeli następstwem czynu określonego w § 1 jest śmierć człowieka, sprawca;karze pozbawienia wolności od 6 miesięcy do lat 8.
89;§ 1. Kto nakłania inną osobę do spowodowania u niej ciężkiego uszczerbku na zdrowiu, o którym mowa w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 pkt 3,;karze pozbawienia wolności do lat 3.
90; 2. Kto przemocą lub groźbą bezprawną zmusza inną osobę do spowodowania u niej ciężkiego uszczerbku na zdrowiu, o którym mowa w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 pkt 3,;karze pozbawienia wolności od 3 miesięcy do lat 5.
91;§ 1. Kto powoduje naruszenie czynności narządu ciała lub rozstrój zdrowia, inny niż określony w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
92; 2. Kto powoduje naruszenie czynności narządu ciała lub rozstrój zdrowia trwający nie dłużej niż 7 dni,;karze pozbawienia wolności od 3 miesięcy do lat 5.
93; 3. Jeżeli sprawca czynu określonego w § 1 lub 2 działa nieumyślnie,;karze pozbawienia wolności od roku do lat 10.
94; 4. Ściganie przestępstwa określonego w § 2 lub 3, jeżeli naruszenie czynności narządu ciała lub rozstrój zdrowia nie trwał dłużej niż 7 dni, odbywa się z oskarżenia prywatnego, chyba że pokrzywdzonym jest osoba najbliższa zamieszkująca wspólnie ze sprawcą.;karze pozbawienia wolności do lat 3.
95; 5. Jeżeli pokrzywdzonym jest osoba najbliższa, ściganie przestępstwa określonego w § 3 następuje na jej wniosek.;karze pozbawienia wolności od roku do lat 10.
96;§ 1. Kto powoduje uszkodzenie ciała dziecka poczętego lub rozstrój zdrowia zagrażający jego życiu,;karze pozbawienia wolności od 3 miesięcy do lat 5.
97; 2. Nie popełnia przestępstwa lekarz, jeżeli uszkodzenie ciała lub rozstrój zdrowia dziecka poczętego są następstwem działań leczniczych, koniecznych dla uchylenia niebezpieczeństwa grożącego zdrowiu lub życiu kobiety ciężarnej albo dziecka poczętego.;karze pozbawienia wolności od lat 2 do 15.
98;§ 1. Kto bierze udział w bójce lub pobiciu, w którym naraża się człowieka na bezpośrednie niebezpieczeństwo utraty życia albo nastąpienie skutku określonego w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 lub w art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1,;karze pozbawienia wolności od 6 miesięcy do lat 8.
99; 2. Jeżeli następstwem bójki lub pobicia jest ciężki uszczerbek na zdrowiu człowieka, sprawca;karze pozbawienia wolności od 6 miesięcy do lat 8.
100; 3. Jeżeli następstwem bójki lub pobicia jest śmierć człowieka, sprawca;karze pozbawienia wolności do lat 3.
101;Kto, biorąc udział w bójce lub pobiciu człowieka, używa broni palnej, noża lub innego podobnie niebezpiecznego przedmiotu,;karze pozbawienia wolności od 6 miesięcy do lat 8.
102;§ 1. Kto naraża człowieka na bezpośrednie niebezpieczeństwo utraty życia albo ciężkiego uszczerbku na zdrowiu,;karze pozbawienia wolności do lat 3.
103; 2. Jeżeli na sprawcy ciąży obowiązek opieki nad osobą narażoną na niebezpieczeństwo,;karze pozbawienia wolności od lat 2 do 15.
104; 3. Jeżeli sprawca czynu określonego w § 1 lub 2 działa nieumyślnie,;karze pozbawienia wolności od 6 miesięcy do lat 8.
105; 5. Ściganie przestępstwa określonego w § 3 następuje na wniosek pokrzywdzonego.;karze pozbawienia wolności od lat 2 do 15.
106;§ 1. Kto, wiedząc, że jest zarażony wirusem HIV lub dotknięty chorobą weneryczną lub zakaźną, ciężką chorobą nieuleczalną lub realnie zagrażającą życiu, naraża bezpośrednio inną osobę na zarażenie tym wirusem lub taką chorobą,;karze pozbawienia wolności do lat 3.
107; 3. Jeżeli sprawca czynu określonego w § 1 naraża na zarażenie wiele osób,;karze pozbawienia wolności od lat 2 do 15.
108; 4. Ściganie przestępstwa określonego w § 1 następuje na wniosek pokrzywdzonego.;karze pozbawienia wolności od lat 3 do 20.
109;§ 1. Kto człowiekowi znajdującemu się w położeniu grożącym bezpośrednim niebezpieczeństwem utraty życia albo ciężkiego uszczerbku na zdrowiu nie udziela pomocy, mogąc jej udzielić bez narażenia siebie lub innej osoby na niebezpieczeństwo utraty życia albo ciężkiego uszczerbku na zdrowiu,;karze pozbawienia wolności od lat 5 do 25.
110; 2. Nie popełnia przestępstwa, kto nie udziela pomocy, do której jest konieczne poddanie się zabiegowi lekarskiemu albo w warunkach, w których możliwa jest niezwłoczna pomoc ze strony instytucji lub osoby do tego powołanej.;karze pozbawienia wolności od 3 miesięcy do lat 5.
