;Unnamed: 0;crime;penalty;0;1;2
13;13.0;§ 1. Kto, naruszając prawo międzynarodowe, zmusza osoby wymienione w art. 123 zamach na życie lub zdrowie jeńców wojennych albo ludności cywilnej § 1 do służby w nieprzyjacielskich siłach zbrojnych lub do uczestnictwa w działaniach zbrojnych skierowanych przeciwko własnemu krajowi, stosuje kary cielesne, przemocą, groźbą bezprawną lub podstępem doprowadza te osoby do obcowania płciowego, poddania się innej czynności seksualnej albo do wykonania takiej czynności, dopuszcza się zamachu na godność osobistą, w szczególności poniżającego i upokarzającego traktowania, pozbawia wolności, pozbawia prawa do niezawisłego i bezstronnego sądu albo ogranicza prawo tych osób do obrony w postępowaniu karnym, ogłasza prawa lub roszczenia obywateli strony przeciwnej za wygasłe, zawieszone lub niedopuszczalne do dochodzenia przed sądem,;karze pozbawienia wolności od lat 3 do 20.;;;
14;14.0;"§ 1. Kto, na obszarze okupowanym, zajętym lub na którym toczą się
działania zbrojne, naruszając prawo międzynarodowe, niszczy, uszkadza, zabiera lub przywłaszcza mienie albo dobro kultury";karze pozbawienia wolności od roku do lat 10.;;;
15;15.0;§ 1. Kto w czasie działań zbrojnych używa niezgodnie z prawem międzynarodowym znaku Czerwonego Krzyża lub Czerwonego Półksiężyca,;karze pozbawienia wolności do lat 3.;;;
16;16.0;Kto publicznie nawołuje do popełnienia czynu określonego w art. 118 ludobójstwo, art. 118a udział w masowym zamachu, art. 119 dyskryminacja § 1, art 120–125 lub publicznie pochwala popełnienie czynu określonego w tych przepisach,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
17;17.0;§ 1. Kto, nie dopełniając obowiązku należytej kontroli, dopuszcza do popełnienia czynu określonego w art. 117 wojna napastnicza § 3, art. 118 ludobójstwo, art. 118a udział w masowym zamachu, art. 119 dyskryminacja § 1, art 120–126a przez osobę pozostającą pod jego faktyczną władzą lub kontrolą,;karze określonej w tych przepisach.;;;
18;18.0;2. Jeżeli sprawca działa nieumyślnie,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
19;19.0;§ 1. Kto czyni przygotowania do przestępstwa określonego w art. 117 wojna napastnicza, art. 118 ludobójstwo lub art. 120 stosowanie środków masowej zagłady,;karze pozbawienia wolności od lat 3 do 20.;;;
20;20.0;2. Kto czyni przygotowania do przestępstwa określonego w art. 118a udział w masowym zamachu § 1 lub § 2, art. 122 niedopuszczalne sposoby lub środki walki lub art. 123 zamach na życie lub zdrowie jeńców wojennych albo ludności cywilnej,;karze pozbawienia wolności od roku do lat 10.;;;
21;21.0;3. Kto czyni przygotowania do przestępstwa określonego w art. 124 inne naruszenia przepisów prawa międzynarodowego § 1 lub art. 125 niszczenie, uszkadzanie, zabieranie lub przywłaszczanie mienia lub dobra kultury,;karze pozbawienia wolności do lat 3.;;;
22;22.0;§ 1. Kto, mając na celu pozbawienie niepodległości, oderwanie części obszaru lub zmianę przemocą konstytucyjnego ustroju Rzeczypospolitej Polskiej, podejmuje w porozumieniu z innymi osobami działalność zmierzającą bezpośrednio do urzeczywistnienia tego celu,;karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.;;;
23;23.0;2. Kto czyni przygotowania do popełnienia przestępstwa określonego w § 1,;karze pozbawienia wolności od lat 3 do 20.;;;
24;24.0;§ 1. Kto, w celu usunięcia przemocą konstytucyjnego organu Rzeczypospolitej Polskiej, podejmuje działalność zmierzającą bezpośrednio do urzeczywistnienia tego celu,;karze pozbawienia wolności od lat 3 do 20.;;;
25;25.0;2. Kto czyni przygotowania do popełnienia przestępstwa określonego w § 1,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
26;26.0;3. Kto przemocą lub groźbą bezprawną wywiera wpływ na czynności urzędowe konstytucyjnego organu Rzeczypospolitej Polskiej,;karze pozbawienia wolności od roku do lat 10.;;;
27;27.0;Kto, będąc upoważniony do występowania w imieniu Rzeczypospolitej Polskiej w stosunkach z rządem obcego państwa lub zagraniczną organizacją, działa na szkodę Rzeczypospolitej Polskiej,;karze pozbawienia wolności od roku do lat 10.;;;
28;28.0;§ 1. Kto bierze udział w działalności obcego wywiadu albo działa na jego rzecz, przeciwko Rzeczypospolitej Polskiej,;karze pozbawienia wolności na czas nie krótszy od lat 5.;;;
29;29.0;2. Kto, biorąc udział w działalności obcego wywiadu albo działając na jego rzecz, udziela temu wywiadowi wiadomości, której przekazanie może wyrządzić szkodę Rzeczypospolitej Polskiej,;karze pozbawienia wolności na czas nie krótszy od lat 8 albo karze dożywotniego pozbawienia wolności.;;;
30;30.0;3. Kto zgłasza gotowość działania na rzecz obcego wywiadu przeciwko Rzeczypospolitej Polskiej albo w celu udzielenia obcemu wywiadowi wiadomości, których przekazanie może wyrządzić szkodę Rzeczypospolitej Polskiej, gromadzi je lub przechowuje lub wchodzi do systemu informatycznego w celu ich uzyskania,;karze pozbawienia wolności od 6 miesięcy do lat 8.;;;
31;31.0;4. Kto działalność obcego wywiadu, o której mowa w § 1, organizuje lub nią kieruje,;karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.;;;
32;32.0;5. Funkcjonariusz publiczny oraz osoba pełniąca dyspozycyjnie terytorialną służbę wojskową, dopuszczający się czynu, o którym mowa w § 1,;karze pozbawienia wolności na czas nie krótszy od lat 8 albo karze dożywotniego pozbawienia wolności.;;;
33;33.0;6. Kto bierze udział w działalności obcego wywiadu nieskierowanej przeciwko Rzeczypospolitej Polskiej prowadzonej na jej terytorium bez zgody właściwego organu udzielonej na podstawie odrębnych przepisów,;karze pozbawienia wolności od 6 miesięcy do lat 8.;;;
34;34.0;7. Kto, biorąc udział w działalności obcego wywiadu albo działając na jego rzecz, dokonuje dywersji, sabotażu lub dopuszcza się przestępstwa o charakterze terrorystycznym,;karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.;;;
35;35.0;8. Kto czyni przygotowania do przestępstwa określonego w § 7,;karze pozbawienia wolności od 6 miesięcy do lat 8.;;;
36;36.0;9. Kto, biorąc udział w działalności obcego wywiadu albo działając na jego rzecz, prowadzi dezinformację, polegającą na rozpowszechnianiu nieprawdziwych lub wprowadzających w błąd informacji, mając na celu wywołanie poważnych zakłóceń w ustroju lub gospodarce Rzeczypospolitej Polskiej, państwa sojuszniczego lub organizacji międzynarodowej, której członkiem jest Rzeczpospolita Polska albo skłonienie organu władzy publicznej Rzeczypospolitej Polskiej, państwa sojuszniczego lub organizacji międzynarodowej, której członkiem jest Rzeczpospolita Polska, do podjęcia lub zaniechania określonych czynności,;karze pozbawienia wolności na czas nie krótszy od lat 8.;;;
37;37.0;Kto, oddając usługi wywiadowcze Rzeczypospolitej Polskiej, wprowadza w błąd polski organ państwowy przez dostarczanie podrobionych lub przerobionych dokumentów lub innych przedmiotów albo przez ukrywanie prawdziwych lub udzielanie fałszywych wiadomości mających istotne znaczenie dla Rzeczypospolitej Polskiej,;karze pozbawienia wolności od roku do lat 10.;;;
38;38.0;Kto publicznie znieważa Naród lub Rzeczpospolitą Polską,;karze pozbawienia wolności do lat 3.;;;
39;39.0;Kto dopuszcza się zamachu na życie Prezydenta Rzeczypospolitej Polskiej,;karze pozbawienia wolności na czas nie krótszy od lat 12 albo karze dożywotniego pozbawienia wolności.;;;
40;40.0;§ 1. Kto dopuszcza się czynnej napaści na Prezydenta Rzeczypospolitej Polskiej,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
41;41.0;2. Kto publicznie znieważa Prezydenta Rzeczypospolitej Polskiej,;karze pozbawienia wolności do lat 3.;;;
42;42.0;§ 1. Kto na terytorium Rzeczypospolitej Polskiej dopuszcza się czynnej napaści na głowę obcego państwa lub akredytowanego szefa przedstawicielstwa dyplomatycznego takiego państwa albo osobę korzystającą z podobnej ochrony na mocy ustaw, umów lub powszechnie uznanych zwyczajów międzynarodowych,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
43;43.0;2. Kto na terytorium Rzeczypospolitej Polskiej dopuszcza się czynnej napaści na osobę należącą do personelu dyplomatycznego przedstawicielstwa obcego państwa albo urzędnika konsularnego obcego państwa, w związku z pełnieniem przez nich obowiązków służbowych,;karze pozbawienia wolności do lat 3.;;;
44;44.0;4. Kto na terytorium Rzeczypospolitej Polskiej publicznie znieważa osobę określoną w § 2,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.;;;
45;45.0;§ 1. Kto publicznie znieważa, niszczy, uszkadza lub usuwa godło, sztandar, chorągiew, banderę, flagę lub inny znak państwowy,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.;;;
46;46.0;§ 1. Kto, w celu osłabienia mocy obronnej Rzeczypospolitej Polskiej, dopuszcza się gwałtownego zamachu na jednostkę Sił Zbrojnych Rzeczypospolitej Polskiej, niszczy lub uszkadza obiekt albo urządzenie o znaczeniu obronnym,;karze pozbawienia wolności od roku do lat 10.;;;
47;47.0;2. Jeżeli następstwem czynu jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca;karze pozbawienia wolności od lat 2 do 15.;;;
48;48.0;3. Kto czyni przygotowania do przestępstwa określonego w § 1,;karze pozbawienia wolności do lat 3.;;;
49;49.0;§ 1. Kto, będąc obywatelem polskim, przyjmuje bez zgody właściwego organu obowiązki wojskowe w obcym wojsku lub w obcej organizacji wojskowej,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
50;50.0;2. Kto przyjmuje obowiązki w zakazanej przez prawo międzynarodowe wojskowej służbie najemnej,;karze pozbawienia wolności od 6 miesięcy do lat 8.;;;
51;51.0;§ 1. Kto, wbrew przepisom ustawy, prowadzi zaciąg obywateli polskich lub przebywających w Rzeczypospolitej Polskiej cudzoziemców do służby wojskowej w obcym wojsku lub w obcej organizacji wojskowej,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
52;52.0;2. Kto prowadzi zaciąg obywateli polskich lub przebywających w Rzeczypospolitej Polskiej cudzoziemców do służby w zakazanej przez prawo międzynarodowe wojskowej służbie najemnej albo taką służbę najemną opłaca, organizuje, szkoli lub wykorzystuje,;karze pozbawienia wolności od 6 miesięcy do lat 8.;;;
53;53.0;§ 1. Kto, w celu uzyskania zwolnienia od obowiązku służby wojskowej albo odroczenia tej służby, powoduje u siebie lub dopuszcza, by kto inny spowodował u niego skutek określony w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 lub art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1 albo w tym celu używa podstępu dla wprowadzenia w błąd właściwego organu,;karze pozbawienia wolności do lat 3.;;;
54;54.0;3. Kto dopuszcza się czynu zabronionego określonego w § 1 lub 2, jeżeli obowiązek dotyczy służby zastępującej służbę wojskową,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.;;;
55;55.0;§ 1. Kto, będąc powołanym do pełnienia czynnej służby wojskowej, nie zgłasza się do odbywania tej służby w określonym terminie i miejscu,;karze pozbawienia wolności do lat 3.;;;
56;56.0;2. W wypadku mniejszej wagi, sprawca;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.;;;
57;57.0;3. Kto nie zgłasza się do odbywania służby zastępującej służbę wojskową w warunkach określonych w § 1,;grzywnie albo karze ograniczenia wolności.;;;
58;58.0;"§ 1. Kto, odbywając służbę zastępującą służbę wojskową:
1) odmawia pełnienia tej służby, złośliwie lub uporczywie odmawia wykonania obowiązku wynikającego z tej służby albo polecenia w sprawach
służbowych,
2) w celu częściowego lub zupełnego uchylenia się od tej służby albo wykonania obowiązku wynikającego z tej służby:
a) powoduje u siebie lub dopuszcza, by kto inny spowodował u niego skutek określony w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 lub art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1,
b) używa podstępu dla wprowadzenia w błąd przełożonego,";grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.;;;
59;59.0;3. Jeżeli sprawca czynu zabronionego określonego w § 2 opuszcza, w celu trwałego uchylenia się od tej służby, wyznaczone miejsce wykonywania obowiązków służbowych albo w takim celu poza nimi pozostaje,;karze pozbawienia wolności do lat 3.;;;
60;60.0;§ 1. Kto zabija człowieka;karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.;;;
61;61.0;"2. Kto zabija człowieka:
1) ze szczególnym okrucieństwem,
2) w związku z wzięciem zakładnika, zgwałceniem albo rozbojem,
3) w wyniku motywacji zasługującej na szczególne potępienie,
4) z użyciem materiałów wybuchowych,";karze pozbawienia wolności na czas nie krótszy od lat 15 albo karze dożywotniego pozbawienia wolności.;;;
62;62.0;4. Kto zabija człowieka pod wpływem silnego wzburzenia usprawiedliwionego okolicznościami,;karze pozbawienia wolności od roku do lat 10.;;;
63;63.0;5. Kto czyni przygotowania do przestępstwa określonego w § 1, 2 lub 3,;karze pozbawienia wolności od lat 2 do 15.;;;
64;64.0;§ 1. Kto przyjmuje zlecenie zabójstwa człowieka w zamian za udzieloną lub obiecaną korzyść majątkową lub osobistą,;karze pozbawienia wolności od lat 2 do 15.;;;
65;65.0;Matka, która zabija dziecko w okresie porodu pod wpływem jego przebiegu,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
66;66.0;§ 1. Kto zabija człowieka na jego żądanie i pod wpływem współczucia dla niego,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
67;67.0;Kto namową lub przez udzielenie pomocy doprowadza człowieka do targnięcia się na własne życie,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
68;68.0;§ 1. Kto za zgodą kobiety przerywa jej ciążę z naruszeniem przepisów ustawy,;karze pozbawienia wolności do lat 3.;;;
69;69.0;3. Kto dopuszcza się czynu określonego w § 1 lub 2, gdy dziecko poczęte osiągnęło zdolność do samodzielnego życia poza organizmem kobiety ciężarnej,;karze pozbawienia wolności od 6 miesięcy do lat 8.;;;
70;70.0;§ 1. Kto stosując przemoc wobec kobiety ciężarnej lub w inny sposób bez jej zgody przerywa ciążę albo przemocą, groźbą bezprawną lub podstępem doprowadza kobietę ciężarną do przerwania ciąży,;karze pozbawienia wolności od 6 miesięcy do lat 8.;;;
71;71.0;2. Kto dopuszcza się czynu określonego w § 1, gdy dziecko poczęte osiągnęło zdolność do samodzielnego życia poza organizmem kobiety ciężarnej,;karze pozbawienia wolności od roku do lat 10.;;;
72;72.0;§ 1. Jeżeli następstwem czynu określonego w art. 152 przerwanie ciąży za zgodą kobiety § 1 lub 2 jest śmierć kobiety ciężarnej, sprawca;karze pozbawienia wolności od roku do lat 10.;;;
73;73.0;2. Jeżeli następstwem czynu określonego w art. 152 przerwanie ciąży za zgodą kobiety § 3 lub w art. 153 wymuszone przerwanie ciąży jest śmierć kobiety ciężarnej, sprawca;karze pozbawienia wolności od lat 2 do 15.;;;
74;74.0;Kto nieumyślnie powoduje śmierć człowieka,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
75;75.0;"§ 1. Kto powoduje ciężki uszczerbek na zdrowiu w postaci:
1) pozbawienia człowieka wzroku, słuchu, mowy, zdolności płodzenia,
2) innego ciężkiego kalectwa, ciężkiej choroby nieuleczalnej lub długotrwałej, choroby realnie zagrażającej życiu, trwałej choroby psychicznej, całkowitej albo znacznej trwałej niezdolności do pracy w zawodzie lub trwałego, istotnego zeszpecenia lub zniekształcenia ciała,
3) wycięcia, infibulacji lub innego trwałego i istotnego okaleczenia żeńskiego narządu płciowego,";karze pozbawienia wolności od lat 3 do 20.;;;
76;76.0;2. Jeżeli sprawca działa nieumyślnie,;karze pozbawienia wolności do lat 3.;;;
77;77.0;3. Jeżeli następstwem czynu określonego w § 1 jest śmierć człowieka, sprawca;karze pozbawienia wolności na czas nie krótszy od lat 5 albo karze dożywotniego pozbawienia wolności.;;;
78;78.0;§ 1. Kto nakłania inną osobę do spowodowania u niej ciężkiego uszczerbku na zdrowiu, o którym mowa w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 pkt 3,;karze pozbawienia wolności do lat 3.;;;
79;79.0;2. Kto przemocą lub groźbą bezprawną zmusza inną osobę do spowodowania u niej ciężkiego uszczerbku na zdrowiu, o którym mowa w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 pkt 3,;karze pozbawienia wolności od 3 miesięcy do 5 lat.;;;
80;80.0;§ 1. Kto powoduje naruszenie czynności narządu ciała lub rozstrój zdrowia, inny niż określony w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
81;81.0;2. Kto powoduje naruszenie czynności narządu ciała lub rozstrój zdrowia trwający nie dłużej niż 7 dni,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.;;;
82;82.0;3. Jeżeli sprawca czynu określonego w § 1 lub 2 działa nieumyślnie,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.;;;
83;83.0;§ 1. Kto powoduje uszkodzenie ciała dziecka poczętego lub rozstrój zdrowia zagrażający jego życiu,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.;;;
84;84.0;§ 1. Kto bierze udział w bójce lub pobiciu, w którym naraża się człowieka na bezpośrednie niebezpieczeństwo utraty życia albo nastąpienie skutku określonego w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 lub w art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
85;85.0;2. Jeżeli następstwem bójki lub pobicia jest ciężki uszczerbek na zdrowiu człowieka, sprawca;karze pozbawienia wolności od roku do lat 10.;;;
86;86.0;3. Jeżeli następstwem bójki lub pobicia jest śmierć człowieka, sprawca;karze pozbawienia wolności od lat 2 do 15.;;;
87;87.0;Kto, biorąc udział w bójce lub pobiciu człowieka, używa broni palnej, noża lub innego podobnie niebezpiecznego przedmiotu,;karze pozbawienia wolności od 6 miesięcy do lat 8.;;;
88;88.0;§ 1. Kto naraża człowieka na bezpośrednie niebezpieczeństwo utraty życia albo ciężkiego uszczerbku na zdrowiu,;karze pozbawienia wolności do lat 3.;;;
89;89.0;2. Jeżeli na sprawcy ciąży obowiązek opieki nad osobą narażoną na niebezpieczeństwo,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
90;90.0;3. Jeżeli sprawca czynu określonego w § 1 lub 2 działa nieumyślnie,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.;;;
91;91.0;§ 1. Kto, wiedząc, że jest zarażony wirusem HIV lub dotknięty chorobą weneryczną lub zakaźną, ciężką chorobą nieuleczalną lub realnie zagrażającą życiu, naraża bezpośrednio inną osobę na zarażenie tym wirusem lub taką chorobą,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
92;92.0;3. Jeżeli sprawca czynu określonego w § 1 naraża na zarażenie wiele osób,;karze pozbawienia wolności od roku do lat 10.;;;
93;93.0;§ 1. Kto człowiekowi znajdującemu się w położeniu grożącym bezpośrednim niebezpieczeństwem utraty życia albo ciężkiego uszczerbku na zdrowiu nie udziela pomocy, mogąc jej udzielić bez narażenia siebie lub innej osoby na niebezpieczeństwo utraty życia albo ciężkiego uszczerbku na zdrowiu,;karze pozbawienia wolności do lat 3.;;;
94;94.0;"§ 1. Kto sprowadza zdarzenie, które zagraża życiu lub zdrowiu wielu osób albo mieniu w wielkich rozmiarach, mające postać:
1) pożaru,
2) zawalenia się budowli, zalewu albo obsunięcia się ziemi, skał lub śniegu,
3) eksplozji materiałów wybuchowych lub łatwopalnych albo innego gwałtownego wyzwolenia energii, rozprzestrzeniania się substancji trujących, duszących lub parzących,
4) gwałtownego wyzwolenia energii jądrowej lub wyzwolenia promieniowania jonizującego,";karze pozbawienia wolności od roku do lat 10.;;;
95;95.0;2. Jeżeli sprawca działa nieumyślnie,;karze pozbawienia wolności od 3 miesięcy do lat 5.;;;
96;96.0;3. Jeżeli następstwem czynu określonego w § 1 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca;karze pozbawienia wolności od lat 2 do 15.;;;
97;97.0;4. Jeżeli następstwem czynu określonego w § 2 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca;karze pozbawienia wolności od 6 miesięcy do lat 8.;;;
98;98.0;§ 1. Kto sprowadza bezpośrednie niebezpieczeństwo zdarzenia określonego w art. 163 sprowadzenie zdarzenia niebezpiecznego § 1,;karze pozbawienia wolności od 6 miesięcy do lat 8.;;;
99;99.0;2. Jeżeli sprawca działa nieumyślnie,;karze pozbawienia wolności do lat 3.;;;
100;100.0;"§ 1. Kto sprowadza niebezpieczeństwo dla życia lub zdrowia wielu osób albo dla mienia w wielkich rozmiarach:
1) powodując zagrożenie epidemiologiczne lub szerzenie się choroby zakaźnej albo zarazy zwierzęcej lub roślinnej,
2) wyrabiając lub wprowadzając do obrotu szkodliwe dla zdrowia substancje, środki spożywcze lub inne artykuły powszechnego użytku lub też środki farmaceutyczne nie odpowiadające obowiązującym warunkom jakości,
3) powodując uszkodzenie lub unieruchomienie urządzenia użyteczności publicznej, w szczególności urządzenia dostarczającego wodę, światło, ciepło, gaz, energię albo urządzenia zabezpieczającego przed nastąpieniem niebezpieczeństwa powszechnego lub służącego do jego uchylenia,
4) zakłócając, uniemożliwiając lub w inny sposób wpływając na automatyczne przetwarzanie, gromadzenie lub przekazywanie danych informatycznych,
5) działając w inny sposób w okolicznościach szczególnie niebezpiecznych,";karze pozbawienia wolności od 6 miesięcy do lat 8.;;;
101;101.0;2. Jeżeli sprawca działa nieumyślnie,;karze pozbawienia wolności do lat 3.;;;
102;102.0;3. Jeżeli następstwem czynu określonego w § 1 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca;karze pozbawienia wolności od lat 2 do 15.;;;
103;103.0;4. Jeżeli następstwem czynu określonego w § 2 jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca;karze pozbawienia wolności od 6 miesięcy do lat 8.;;;
