;crime;penalty
10;2) pozbawia osobę wolności na czas przekraczający 7 dni lub ze szczególnym udręczeniem,;§ 2. Tej samej karze podlega, kto dopuszcza do popełnienia czynu określonego w § 1.
11;3) stosuje tortury lub poddaje osobę okrutnemu lub nieludzkiemu traktowaniu,;karze pozbawienia wolności od lat 5 do 25.
12;4) dopuszcza się zgwałcenia albo stosując przemoc, groźbę bezprawną lub podstęp w inny sposób narusza wolność seksualną osoby,;§ 2. Tej samej karze podlega, kto w czasie działań zbrojnych stosuje środek walki zakazany przez prawo międzynarodowe.
13;5) stosując przemoc lub groźbę bezprawną powoduje zajście przez kobietę w ciążę w zamiarze wpłynięcia na skład etniczny grupy ludności lub dokonania innych poważnych naruszeń prawa międzynarodowego,;karze pozbawienia wolności na czas nie krótszy od lat 12 albo karze dożywotniego pozbawienia wolności.
14;6) pozbawia osobę wolności i odmawia udzielenia informacji dotyczących tej osoby lub miejsca jej pobytu lub przekazuje nieprawdziwe informacje dotyczące tej osoby lub miejsca jej pobytu, w zamiarze pozbawienia takiej osoby ochrony prawnej przez dłuższy okres,;karze pozbawienia wolności od lat 5 do 25.
15;§ 3. Kto, biorąc udział w masowym zamachu lub choćby w jednym z powtarzających się zamachów skierowanych przeciwko grupie ludności podjętych w celu wykonania lub wsparcia polityki państwa lub organizacji:;karze pozbawienia wolności od lat 3 do 20.
16;1) naruszając prawo międzynarodowe zmusza osoby do zmiany ich zgodnego z prawem miejsca zamieszkania,;§ 2. Tej samej karze podlega, kto, naruszając prawo międzynarodowe, opóźnia repatriację jeńców wojennych lub osób cywilnych, dokonuje przemieszczenia, przesiedlenia lub deportacji ludności cywilnej, wciela, werbuje do sił zbrojnych osoby poniżej 18 roku życia lub faktycznie używa takich osób w działaniach zbrojnych.
17;2) dopuszcza się poważnego prześladowania grupy ludności z powodów uznanych za niedopuszczalne na podstawie prawa międzynarodowego, w szczególności politycznych, rasowych, narodowych, etnicznych, kulturowych, wyznaniowych lub z powodu bezwyznaniowości, światopoglądu lub płci, powodując pozbawienie praw podstawowych,;karze pozbawienia wolności od roku do lat 10.
18;§ 1. Kto stosuje przemoc lub groźbę bezprawną wobec grupy osób lub poszczególnej osoby z powodu jej przynależności narodowej, etnicznej, rasowej, politycznej, wyznaniowej lub z powodu jej bezwyznaniowości,;§ 2. Jeżeli czyn dotyczy mienia znacznej wartości albo dobra o szczególnym znaczeniu dla kultury, sprawca podlega karze pozbawienia wolności od lat 3 do 20.
19;Kto stosuje środek masowej zagłady zakazany przez prawo międzynarodowe,;karze pozbawienia wolności do lat 3.
20;§ 1. Kto, wbrew zakazom prawa międzynarodowego lub przepisom ustawy, wytwarza, gromadzi, nabywa, zbywa, przechowuje, przewozi lub przesyła środki masowej zagłady lub środki walki bądź prowadzi badania mające na celu wytwarzanie lub stosowanie takich środków;§ 2. Tej samej karze podlega, kto w czasie działań zbrojnych używa niezgodnie z prawem międzynarodowym znaku ochronnego dla dóbr kultury lub innego znaku chronionego przez prawo międzynarodowe albo posługuje się flagą państwową lub odznaką wojskową nieprzyjaciela, państwa neutralnego albo organizacji lub komisji międzynarodowej.
21;§ 1. Kto w czasie działań zbrojnych atakuje miejscowość lub obiekt niebroniony, strefę sanitarną, zdemilitaryzowaną lub zneutralizowaną albo stosuje inny sposób walki zakazany przez prawo międzynarodowe,;karze pozbawienia wolności od 3 miesięcy do lat 5.
22;§ 1. Kto, naruszając prawo międzynarodowe, dopuszcza się zabójstwa wobec:;karze określonej w tych przepisach.
23;1) osób, które składając broń lub nie dysponując środkami obrony poddały się,;karze pozbawienia wolności od 3 miesięcy do lat 5.
24;2) rannych, chorych, rozbitków, personelu medycznego lub osób duchownych,;karze pozbawienia wolności od lat 3 do 20.
25;3) jeńców wojennych,;karze pozbawienia wolności od roku do lat 10.
26;4) ludności cywilnej obszaru okupowanego, zajętego lub na którym toczą się działania zbrojne, albo innych osób korzystających w czasie działań zbrojnych z ochrony międzynarodowej,;karze pozbawienia wolności do lat 3.
27;§ 2. Kto, naruszając prawo międzynarodowe, powoduje u osób wymienionych w § 1 ciężki uszczerbek na zdrowiu, poddaje te osoby torturom, okrutnemu lub nieludzkiemu traktowaniu, dokonuje na nich, nawet za ich zgodą, eksperymentów poznawczych, używa ich do ochraniania swoją obecnością określonego terenu lub obiektu przed działaniami zbrojnymi albo własnych oddziałów lub zatrzymuje jako zakładników,;karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.
28;§ 1. Kto, naruszając prawo międzynarodowe, zmusza osoby wymienione w art. 123 zamach na życie lub zdrowie jeńców wojennych albo ludności cywilnej § 1 do służby w nieprzyjacielskich siłach zbrojnych lub do uczestnictwa w działaniach zbrojnych skierowanych przeciwko własnemu krajowi, stosuje kary cielesne, przemocą, groźbą bezprawną lub podstępem doprowadza te osoby do obcowania płciowego, poddania się innej czynności seksualnej albo do wykonania takiej czynności, dopuszcza się zamachu na godność osobistą, w szczególności poniżającego i upokarzającego traktowania, pozbawia wolności, pozbawia prawa do niezawisłego i bezstronnego sądu albo ogranicza prawo tych osób do obrony w postępowaniu karnym, ogłasza prawa lub roszczenia obywateli strony przeciwnej za wygasłe, zawieszone lub niedopuszczalne do dochodzenia przed sądem,;karze pozbawienia wolności od lat 3 do 20.
29;§ 1. Kto, na obszarze okupowanym, zajętym lub na którym toczą się;karze pozbawienia wolności od lat 3 do 20.
30;działania zbrojne, naruszając prawo międzynarodowe, niszczy, uszkadza, zabiera lub przywłaszcza mienie albo dobro kultury;karze pozbawienia wolności od 3 miesięcy do lat 5.
31;§ 1. Kto w czasie działań zbrojnych używa niezgodnie z prawem międzynarodowym znaku Czerwonego Krzyża lub Czerwonego Półksiężyca,;karze pozbawienia wolności od roku do lat 10.
32;Kto publicznie nawołuje do popełnienia czynu określonego w art. 118 ludobójstwo, art. 118a udział w masowym zamachu, art. 119 dyskryminacja § 1, art 120–125 lub publicznie pochwala popełnienie czynu określonego w tych przepisach,;karze pozbawienia wolności od roku do lat 10.
33;§ 1. Kto, nie dopełniając obowiązku należytej kontroli, dopuszcza do popełnienia czynu określonego w art. 117 wojna napastnicza § 3, art. 118 ludobójstwo, art. 118a udział w masowym zamachu, art. 119 dyskryminacja § 1, art 120–126a przez osobę pozostającą pod jego faktyczną władzą lub kontrolą,;karze pozbawienia wolności na czas nie krótszy od lat 5.
34;§ 2. Jeżeli sprawca działa nieumyślnie,;karze pozbawienia wolności na czas nie krótszy od lat 8 albo karze dożywotniego pozbawienia wolności.
35;§ 1. Kto czyni przygotowania do przestępstwa określonego w art. 117 wojna napastnicza, art. 118 ludobójstwo lub art. 120 stosowanie środków masowej zagłady,;karze pozbawienia wolności od 6 miesięcy do lat 8.
36;§ 2. Kto czyni przygotowania do przestępstwa określonego w art. 118a udział w masowym zamachu § 1 lub § 2, art. 122 niedopuszczalne sposoby lub środki walki lub art. 123 zamach na życie lub zdrowie jeńców wojennych albo ludności cywilnej,;karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.
37;§ 3. Kto czyni przygotowania do przestępstwa określonego w art. 124 inne naruszenia przepisów prawa międzynarodowego § 1 lub art. 125 niszczenie, uszkadzanie, zabieranie lub przywłaszczanie mienia lub dobra kultury,;karze pozbawienia wolności na czas nie krótszy od lat 8 albo karze dożywotniego pozbawienia wolności.
38;§ 1. Kto, mając na celu pozbawienie niepodległości, oderwanie części obszaru lub zmianę przemocą konstytucyjnego ustroju Rzeczypospolitej Polskiej, podejmuje w porozumieniu z innymi osobami działalność zmierzającą bezpośrednio do urzeczywistnienia tego celu,;karze pozbawienia wolności od 6 miesięcy do lat 8.
39;§ 2. Kto czyni przygotowania do popełnienia przestępstwa określonego w § 1,;karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.
40;§ 1. Kto, w celu usunięcia przemocą konstytucyjnego organu Rzeczypospolitej Polskiej, podejmuje działalność zmierzającą bezpośrednio do urzeczywistnienia tego celu,;karze pozbawienia wolności od 6 miesięcy do lat 8.
41;§ 2. Kto czyni przygotowania do popełnienia przestępstwa określonego w § 1,;karze pozbawienia wolności na czas nie krótszy od lat 8.
42;§ 3. Kto przemocą lub groźbą bezprawną wywiera wpływ na czynności urzędowe konstytucyjnego organu Rzeczypospolitej Polskiej,;"§ 1. Nie podlega karze za usiłowanie przestępstwa określonego w art. 127 zamach stanu § 1, art. 128 zamach na organ konstytucyjny RP § 1 lub art. 130 szpiegostwo § 1, 2, 5, 7 i 9 kto dobrowolnie poniechał dalszej działalności i ujawnił wobec organu powołanego do ścigania przestępstw wszystkie istotne okoliczności popełnionego czynu; przepis art. 17 dobrowolne odstąpienia od przygotowania § 2 stosuje się odpowiednio."
43;Kto, będąc upoważniony do występowania w imieniu Rzeczypospolitej Polskiej w stosunkach z rządem obcego państwa lub zagraniczną organizacją, działa na szkodę Rzeczypospolitej Polskiej,;§ 2. Nie podlega karze za przestępstwo określone w art. 128 zamach na organ konstytucyjny RP § 2, art. 129 zdrada dyplomatyczna lub art. 130 szpiegostwo § 3, 6 i 8, kto dobrowolnie poniechał dalszej działalności i podjął istotne starania zmierzające do zapobieżenia popełnieniu zamierzonego czynu zabronionego oraz ujawnił wobec organu powołanego do ścigania przestępstw wszystkie istotne okoliczności popełnionego czynu.
44;§ 1. Kto bierze udział w działalności obcego wywiadu albo działa na jego rzecz, przeciwko Rzeczypospolitej Polskiej,;karze pozbawienia wolności od roku do lat 10.
45;§ 2. Kto, biorąc udział w działalności obcego wywiadu albo działając na jego rzecz, udziela temu wywiadowi wiadomości, której przekazanie może wyrządzić szkodę Rzeczypospolitej Polskiej,;karze pozbawienia wolności do lat 3.
46;§ 3. Kto zgłasza gotowość działania na rzecz obcego wywiadu przeciwko Rzeczypospolitej Polskiej albo w celu udzielenia obcemu wywiadowi wiadomości, których przekazanie może wyrządzić szkodę Rzeczypospolitej Polskiej, gromadzi je lub przechowuje lub wchodzi do systemu informatycznego w celu ich uzyskania,;karze pozbawienia wolności na czas nie krótszy od lat 12 albo karze dożywotniego pozbawienia wolności.
47;§ 4. Kto działalność obcego wywiadu, o której mowa w § 1, organizuje lub nią kieruje,;karze pozbawienia wolności od 3 miesięcy do lat 5.
48;§ 5. Funkcjonariusz publiczny oraz osoba pełniąca dyspozycyjnie terytorialną służbę wojskową, dopuszczający się czynu, o którym mowa w § 1,;karze pozbawienia wolności do lat 3.
49;§ 6. Kto bierze udział w działalności obcego wywiadu nieskierowanej przeciwko Rzeczypospolitej Polskiej prowadzonej na jej terytorium bez zgody właściwego organu udzielonej na podstawie odrębnych przepisów,;karze pozbawienia wolności od 3 miesięcy do lat 5.
50;§ 7. Kto, biorąc udział w działalności obcego wywiadu albo działając na jego rzecz, dokonuje dywersji, sabotażu lub dopuszcza się przestępstwa o charakterze terrorystycznym,;karze pozbawienia wolności do lat 3.
51;§ 8. Kto czyni przygotowania do przestępstwa określonego w § 7,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
52;§ 9. Kto, biorąc udział w działalności obcego wywiadu albo działając na jego rzecz, prowadzi dezinformację, polegającą na rozpowszechnianiu nieprawdziwych lub wprowadzających w błąd informacji, mając na celu wywołanie poważnych zakłóceń w ustroju lub gospodarce Rzeczypospolitej Polskiej, państwa sojuszniczego lub organizacji międzynarodowej, której członkiem jest Rzeczpospolita Polska albo skłonienie organu władzy publicznej Rzeczypospolitej Polskiej, państwa sojuszniczego lub organizacji międzynarodowej, której członkiem jest Rzeczpospolita Polska, do podjęcia lub zaniechania określonych czynności,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
53;Kto, oddając usługi wywiadowcze Rzeczypospolitej Polskiej, wprowadza w błąd polski organ państwowy przez dostarczanie podrobionych lub przerobionych dokumentów lub innych przedmiotów albo przez ukrywanie prawdziwych lub udzielanie fałszywych wiadomości mających istotne znaczenie dla Rzeczypospolitej Polskiej,;§ 2. Tej samej karze podlega, kto na terytorium Rzeczypospolitej Polskiej znieważa, niszczy, uszkadza lub usuwa godło, sztandar, chorągiew, banderę, flagę lub inny znak państwa obcego, wystawione publicznie przez przedstawicielstwo tego państwa lub na zarządzenie polskiego organu władzy.
54;;karze pozbawienia wolności od roku do lat 10.
55;Kto publicznie znieważa Naród lub Rzeczpospolitą Polską,;karze pozbawienia wolności od lat 2 do 15.
56;Kto dopuszcza się zamachu na życie Prezydenta Rzeczypospolitej Polskiej,;karze pozbawienia wolności do lat 3.
57;§ 1. Kto dopuszcza się czynnej napaści na Prezydenta Rzeczypospolitej Polskiej,;karze pozbawienia wolności od 3 miesięcy do lat 5.
58;§ 2. Kto publicznie znieważa Prezydenta Rzeczypospolitej Polskiej,;karze pozbawienia wolności od 6 miesięcy do lat 8.
59;§ 1. Kto na terytorium Rzeczypospolitej Polskiej dopuszcza się czynnej napaści na głowę obcego państwa lub akredytowanego szefa przedstawicielstwa dyplomatycznego takiego państwa albo osobę korzystającą z podobnej ochrony na mocy ustaw, umów lub powszechnie uznanych zwyczajów międzynarodowych,;karze pozbawienia wolności od 3 miesięcy do lat 5.
60;§ 2. Kto na terytorium Rzeczypospolitej Polskiej dopuszcza się czynnej napaści na osobę należącą do personelu dyplomatycznego przedstawicielstwa obcego państwa albo urzędnika konsularnego obcego państwa, w związku z pełnieniem przez nich obowiązków służbowych,;karze pozbawienia wolności od 6 miesięcy do lat 8.
61;§ 3. Karze określonej w § 2 podlega, kto na terytorium Rzeczypospolitej Polskiej publicznie znieważa osobę określoną w § 1.;karze pozbawienia wolności do lat 3.
62;§ 4. Kto na terytorium Rzeczypospolitej Polskiej publicznie znieważa osobę określoną w § 2,;§ 2. Tej samej karze podlega, kto, w celu ułatwienia innej osobie zwolnienia od obowiązku służby wojskowej albo odroczenia tej służby, za jej zgodą powoduje u niej skutek określony w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 lub art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1 albo w tym celu używa podstępu dla wprowadzenia w błąd właściwego organu.
63;§ 1. Kto publicznie znieważa, niszczy, uszkadza lub usuwa godło, sztandar, chorągiew, banderę, flagę lub inny znak państwowy,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
64;§ 1. Przepisy art. 136 czynna napaść lub znieważenie przedstawiciela obcego państwa oraz art. 137 publiczne znieważenie znaku lub symbolu państwa § 2 stosuje się, jeżeli państwo obce zapewnia wzajemność.;karze pozbawienia wolności do lat 3.
65;§ 2. Przepisy art. 127 zamach stanu, art. 128 zamach na organ konstytucyjny RP, art. 130 szpiegostwo oraz art. 131 czynny żal sprawcy przestępstwa przeciwko Rzeczypospolitej Polskiej stosuje się odpowiednio, jeżeli czyn zabroniony popełniono na szkodę państwa sojuszniczego, a państwo to zapewnia wzajemność.;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
66;W sprawie o przestępstwo określone w art. 127 zamach stanu, art. 128 zamach na organ konstytucyjny RP oraz art. 130 szpiegostwo sąd może orzec przepadek przedmiotów również wtedy, gdy przedmioty nie stanowią własności sprawcy.;grzywnie albo karze ograniczenia wolności.
67;§ 1. Kto, w celu osłabienia mocy obronnej Rzeczypospolitej Polskiej, dopuszcza się gwałtownego zamachu na jednostkę Sił Zbrojnych Rzeczypospolitej Polskiej, niszczy lub uszkadza obiekt albo urządzenie o znaczeniu obronnym,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
68;§ 2. Jeżeli następstwem czynu jest śmierć człowieka lub ciężki uszczerbek na zdrowiu wielu osób, sprawca;§ 2. Tej samej karze podlega, kto, pełniąc służbę określoną w § 1, samowolnie opuszcza wyznaczone miejsce wykonywania obowiązków służbowych lub samowolnie poza nim pozostaje.
69;§ 3. Kto czyni przygotowania do przestępstwa określonego w § 1,;karze pozbawienia wolności do lat 3.
70;§ 4. W sprawie o przestępstwo określone w § 1–3 sąd może orzec przepadek przedmiotów również wtedy, gdy przedmioty nie stanowią własności sprawcy.;karze pozbawienia wolności na czas nie krótszy od lat 10 albo karze dożywotniego pozbawienia wolności.
71;§ 1. Kto, będąc obywatelem polskim, przyjmuje bez zgody właściwego organu obowiązki wojskowe w obcym wojsku lub w obcej organizacji wojskowej,;karze pozbawienia wolności na czas nie krótszy od lat 15 albo karze dożywotniego pozbawienia wolności.
72;§ 2. Kto przyjmuje obowiązki w zakazanej przez prawo międzynarodowe wojskowej służbie najemnej,;karze pozbawienia wolności od roku do lat 10.
73;§ 3. Nie popełnia przestępstwa określonego w § 1 obywatel polski będący równocześnie obywatelem innego państwa, jeżeli zamieszkuje na jego terytorium i pełni tam służbę wojskową.;karze pozbawienia wolności od lat 2 do 15.
74;§ 1. Kto, wbrew przepisom ustawy, prowadzi zaciąg obywateli polskich lub przebywających w Rzeczypospolitej Polskiej cudzoziemców do służby wojskowej w obcym wojsku lub w obcej organizacji wojskowej,;karze pozbawienia wolności od lat 2 do 15.
75;§ 2. Kto prowadzi zaciąg obywateli polskich lub przebywających w Rzeczypospolitej Polskiej cudzoziemców do służby w zakazanej przez prawo międzynarodowe wojskowej służbie najemnej albo taką służbę najemną opłaca, organizuje, szkoli lub wykorzystuje,;§ 2. Nie podlega karze za przestępstwo określone w § 1, kto przed wszczęciem postępowania karnego ujawnił wobec organu powołanego do ścigania przestępstw osobę lub osoby zlecające zabójstwo oraz istotne okoliczności popełnionego czynu.
76;§ 1. Kto, w celu uzyskania zwolnienia od obowiązku służby wojskowej albo odroczenia tej służby, powoduje u siebie lub dopuszcza, by kto inny spowodował u niego skutek określony w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 lub art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1 albo w tym celu używa podstępu dla wprowadzenia w błąd właściwego organu,;karze pozbawienia wolności od 3 miesięcy do lat 5.
77;§ 3. Kto dopuszcza się czynu zabronionego określonego w § 1 lub 2, jeżeli obowiązek dotyczy służby zastępującej służbę wojskową,;karze pozbawienia wolności od 3 miesięcy do lat 5.
78;§ 1. Kto, będąc powołanym do pełnienia czynnej służby wojskowej, nie zgłasza się do odbywania tej służby w określonym terminie i miejscu,;karze pozbawienia wolności od 3 miesięcy do lat 5.
79;§ 2. W wypadku mniejszej wagi, sprawca;karze pozbawienia wolności do lat 3.
80;§ 3. Kto nie zgłasza się do odbywania służby zastępującej służbę wojskową w warunkach określonych w § 1,;§ 2. Tej samej karze podlega, kto udziela kobiecie ciężarnej pomocy w przerwaniu ciąży z naruszeniem przepisów ustawy lub ją do tego nakłania.
81;§ 1. Kto, odbywając służbę zastępującą służbę wojskową:;karze pozbawienia wolności od 6 miesięcy do lat 8.
82;1) odmawia pełnienia tej służby, złośliwie lub uporczywie odmawia wykonania obowiązku wynikającego z tej służby albo polecenia w sprawach;karze pozbawienia wolności od 6 miesięcy do lat 8.
83;służbowych,;karze pozbawienia wolności od roku do lat 10.
84;2) w celu częściowego lub zupełnego uchylenia się od tej służby albo wykonania obowiązku wynikającego z tej służby:;karze pozbawienia wolności od roku do lat 10.
85;a) powoduje u siebie lub dopuszcza, by kto inny spowodował u niego skutek określony w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 lub art. 157 spowodowanie średniego i lekkiego uszczerbku na zdrowiu § 1,;karze pozbawienia wolności od lat 2 do 15.
86;b) używa podstępu dla wprowadzenia w błąd przełożonego,;karze pozbawienia wolności od 3 miesięcy do lat 5.
87;§ 3. Jeżeli sprawca czynu zabronionego określonego w § 2 opuszcza, w celu trwałego uchylenia się od tej służby, wyznaczone miejsce wykonywania obowiązków służbowych albo w takim celu poza nimi pozostaje,;karze pozbawienia wolności od lat 3 do 20.
88;Jeżeli sprawca przestępstwa określonego w art. 145 uchylanie się od zastępczej służby wojskowej § 2 i 3 dobrowolnie powrócił, a jego nieobecność trwała nie dłużej niż 14 dni, sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia.;karze pozbawienia wolności do lat 3.
89;W stosunku do sprawcy przestępstwa określonego w art. 143 samouszkodzenie w celu zwolnienia od obowiązku służby wojskowej albo odroczenia służby § 1 lub w art. 144 niezgłaszanie się do odbywania czynnej służby wojskowej lub art. 145 uchylanie się od zastępczej służby wojskowej, który w chwili czynu był niezdolny do pełnienia służby wojskowej, sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia.;karze pozbawienia wolności na czas nie krótszy od lat 5 albo karze dożywotniego pozbawienia wolności.
90;§ 1. Kto zabija człowieka;karze pozbawienia wolności do lat 3.
91;§ 2. Kto zabija człowieka:;karze pozbawienia wolności od 3 miesięcy do 5 lat.
92;1) ze szczególnym okrucieństwem,;karze pozbawienia wolności od 3 miesięcy do lat 5.
93;2) w związku z wzięciem zakładnika, zgwałceniem albo rozbojem,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
94;3) w wyniku motywacji zasługującej na szczególne potępienie,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
95;4) z użyciem materiałów wybuchowych,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
96;§ 3. Karze określonej w § 2 podlega, kto jednym czynem zabija więcej niż jedną osobę lub był wcześniej prawomocnie skazany za zabójstwo oraz sprawca zabójstwa funkcjonariusza publicznego popełnionego podczas lub w związku z pełnieniem przez niego obowiązków służbowych związanych z ochroną bezpieczeństwa ludzi lub ochroną bezpieczeństwa lub porządku publicznego.;§ 3. Nie podlega karze matka dziecka poczętego, która dopuszcza się czynu określonego w § 1.
97;§ 4. Kto zabija człowieka pod wpływem silnego wzburzenia usprawiedliwionego okolicznościami,;karze pozbawienia wolności od 3 miesięcy do lat 5.
98;§ 5. Kto czyni przygotowania do przestępstwa określonego w § 1, 2 lub 3,;karze pozbawienia wolności od roku do lat 10.
99;§ 1. Kto przyjmuje zlecenie zabójstwa człowieka w zamian za udzieloną lub obiecaną korzyść majątkową lub osobistą,;karze pozbawienia wolności od lat 2 do 15.
100;Matka, która zabija dziecko w okresie porodu pod wpływem jego przebiegu,;karze pozbawienia wolności od 6 miesięcy do lat 8.
101;§ 1. Kto zabija człowieka na jego żądanie i pod wpływem współczucia dla niego,;karze pozbawienia wolności do lat 3.
102;§ 2. W wyjątkowych wypadkach sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia.;karze pozbawienia wolności od 3 miesięcy do lat 5.
103;Kto namową lub przez udzielenie pomocy doprowadza człowieka do targnięcia się na własne życie,;grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
104;§ 1. Kto za zgodą kobiety przerywa jej ciążę z naruszeniem przepisów ustawy,;§ 4. Nie podlega karze za przestępstwo określone w § 1-3 sprawca, który dobrowolnie uchylił grożące niebezpieczeństwo.
105;§ 3. Kto dopuszcza się czynu określonego w § 1 lub 2, gdy dziecko poczęte osiągnęło zdolność do samodzielnego życia poza organizmem kobiety ciężarnej,;karze pozbawienia wolności od 3 miesięcy do lat 5.
106;§ 1. Kto stosując przemoc wobec kobiety ciężarnej lub w inny sposób bez jej zgody przerywa ciążę albo przemocą, groźbą bezprawną lub podstępem doprowadza kobietę ciężarną do przerwania ciąży,;karze pozbawienia wolności od roku do lat 10.
107;§ 2. Kto dopuszcza się czynu określonego w § 1, gdy dziecko poczęte osiągnęło zdolność do samodzielnego życia poza organizmem kobiety ciężarnej,;karze pozbawienia wolności do lat 3.
108;§ 1. Jeżeli następstwem czynu określonego w art. 152 przerwanie ciąży za zgodą kobiety § 1 lub 2 jest śmierć kobiety ciężarnej, sprawca;karze pozbawienia wolności od roku do lat 10.
109;§ 2. Jeżeli następstwem czynu określonego w art. 152 przerwanie ciąży za zgodą kobiety § 3 lub w art. 153 wymuszone przerwanie ciąży jest śmierć kobiety ciężarnej, sprawca;karze pozbawienia wolności od 3 miesięcy do lat 5.
110;Kto nieumyślnie powoduje śmierć człowieka,;karze pozbawienia wolności od lat 2 do 15.
111;§ 1. Kto powoduje ciężki uszczerbek na zdrowiu w postaci:;karze pozbawienia wolności od 6 miesięcy do lat 8.
112;1) pozbawienia człowieka wzroku, słuchu, mowy, zdolności płodzenia,;karze pozbawienia wolności od 6 miesięcy do lat 8.
113;2) innego ciężkiego kalectwa, ciężkiej choroby nieuleczalnej lub długotrwałej, choroby realnie zagrażającej życiu, trwałej choroby psychicznej, całkowitej albo znacznej trwałej niezdolności do pracy w zawodzie lub trwałego, istotnego zeszpecenia lub zniekształcenia ciała,;karze pozbawienia wolności do lat 3.
114;3) wycięcia, infibulacji lub innego trwałego i istotnego okaleczenia żeńskiego narządu płciowego,;karze pozbawienia wolności od 6 miesięcy do lat 8.
115;§ 2. Jeżeli sprawca działa nieumyślnie,;karze pozbawienia wolności do lat 3.
116;§ 3. Jeżeli następstwem czynu określonego w § 1 jest śmierć człowieka, sprawca;karze pozbawienia wolności od lat 2 do 15.
117;§ 1. Kto nakłania inną osobę do spowodowania u niej ciężkiego uszczerbku na zdrowiu, o którym mowa w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 pkt 3,;karze pozbawienia wolności od 6 miesięcy do lat 8.
118;§ 2. Kto przemocą lub groźbą bezprawną zmusza inną osobę do spowodowania u niej ciężkiego uszczerbku na zdrowiu, o którym mowa w art. 156 spowodowanie ciężkiego uszczerbku na zdrowiu § 1 pkt 3,;karze pozbawienia wolności od lat 2 do 15.
